data,miasto,sklep,kategoria,towar,cena,sztuk
2014-11-23,Łódź,Wdowiak,meble,biurko,149.99,4
2017-05-07,Radom,Czarnecki,wyposażenie szkolne,tablica,590.00,2
2017-05-05,Kraków,Kozłowski,szkolno-biurowe,flamaster,0.99,51
2016-10-19,Kraków,Wróbel,wyposażenie szkolne,gąbka,4.00,250
2016-04-08,Poznań,Borowik,meble,biurko,149.99,9
2016-09-01,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,19
2016-03-12,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2015-04-05,Białystok,Podsiadło,meble,biurko,149.99,4
2016-12-25,Kraków,Dudek,szkolno-biurowe,długopis,1.49,39
2015-09-30,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,31
2015-08-14,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,408
2017-01-12,Katowice,Michalak,szkolno-biurowe,dziurkacz,7.50,200
2014-12-16,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2015-10-14,Poznań,Romanowski,wyposażenie szkolne,tablica,590.00,2
2014-12-03,Radom,Czarnecki,szkolno-biurowe,flamaster,0.99,138
2016-04-29,Poznań,Szewczyk,meble,biurko,149.99,6
2016-12-11,Radom,Grycuk,meble,biurko,149.99,4
2015-10-15,Poznań,Borowik,meble,krzesło obrotowe,69.00,14
2015-03-24,Katowice,Jankowski,wyposażenie szkolne,kreda,5.00,213
2017-02-02,Gdańsk,Krupa,wyposażenie szkolne,gąbka,4.00,204
2017-02-01,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,284
2016-03-05,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,479
2016-04-14,Gdańsk,Krupa,wyposażenie szkolne,gąbka,4.00,293
2015-02-18,Poznań,Romanowski,wyposażenie szkolne,kreda,5.00,218
2015-04-01,Białystok,Podsiadło,szkolno-biurowe,długopis,1.49,21
2015-09-12,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,9
2016-08-25,Katowice,Jankowski,szkolno-biurowe,plastelina,2.99,211
2016-06-06,Katowice,Jankowski,wyposażenie szkolne,gąbka,4.00,398
2015-09-03,Kraków,Dudek,meble,biurko,149.99,5
2015-10-08,Poznań,Borowik,meble,biurko,149.99,3
2017-04-06,Poznań,Romanowski,szkolno-biurowe,dziurkacz,7.50,152
2014-11-15,Kraków,Kozłowski,wyposażenie szkolne,tablica,590.00,2
2016-03-03,Radom,Grycuk,szkolno-biurowe,dziurkacz,7.50,70
2016-07-26,Katowice,Gaińska,szkolno-biurowe,dziurkacz,7.50,238
2015-01-03,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,1
2016-01-07,Radom,Zawadzki,meble,krzesło obrotowe,69.00,7
2016-09-21,Katowice,Michalak,szkolno-biurowe,flamaster,0.99,162
2016-03-01,Kraków,Sikorski,wyposażenie szkolne,gąbka,4.00,84
2016-08-27,Radom,Grycuk,szkolno-biurowe,flamaster,0.99,53
2016-10-09,Białystok,Pietrasiuk,szkolno-biurowe,flamaster,0.99,72
2017-02-07,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,473
2015-07-09,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,28
2016-05-14,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,30
2015-02-23,Gdańsk,Krupa,wyposażenie szkolne,tablica,590.00,1
2016-05-19,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,33
2014-11-26,Kraków,Kozłowski,wyposażenie szkolne,tablica,590.00,3
2016-02-09,Radom,Grycuk,meble,biurko,149.99,4
2017-02-21,Kraków,Kozłowski,wyposażenie szkolne,tablica,590.00,1
2016-07-27,Kraków,Kozłowski,wyposażenie szkolne,tablica,590.00,3
2015-02-13,Białystok,Podsiadło,meble,krzesło obrotowe,69.00,2
2017-01-19,Łódź,Wdowiak,szkolno-biurowe,dziurkacz,7.50,59
2016-11-12,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,153
2015-12-05,Katowice,Michalak,meble,krzesło obrotowe,69.00,28
2017-04-15,Kraków,Dudek,meble,krzesło obrotowe,69.00,6
2015-11-27,Białystok,Pietrasiuk,szkolno-biurowe,długopis,1.49,33
2015-02-06,Kraków,Kozłowski,meble,krzesło obrotowe,69.00,13
2016-09-05,Radom,Grycuk,meble,biurko,149.99,6
2015-08-23,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,6
